date,downloads,project,package
2024-01-08,665932,vllm,vllm
2024-01-08,503460,bentoml,bentoml
2024-01-08,77200,mosec,mosec
2024-01-08,43277,xinference,xinference
2024-01-08,163458,openllm,openllm
2024-01-09,666607,vllm,vllm
2024-01-09,505460,bentoml,bentoml
2024-01-09,77229,mosec,mosec
2024-01-09,43300,xinference,xinference
2024-01-09,163648,openllm,openllm
2024-01-10,673915,vllm,vllm
2024-01-10,504646,bentoml,bentoml
2024-01-10,76959,mosec,mosec
2024-01-10,43334,xinference,xinference
2024-01-10,164272,openllm,openllm
