date,downloads,project,package
2024-01-08,29551841,langchain,langchain
2024-01-08,4939782,llama index,llama-index
2024-01-09,29551841,langchain,langchain
2024-01-09,4939782,llama index,llama-index
2024-01-10,29619803,langchain,langchain
2024-01-10,5004307,llama index,llama-index
2024-01-12,29804005,langchain,langchain
2024-01-12,5152211,llama index,llama-index
2024-01-16,29919347,langchain,langchain
2024-01-16,5373862,llama index,llama-index
2024-01-18,30079259,langchain,langchain
2024-01-18,5505833,llama index,llama-index
2024-01-19,30158364,langchain,langchain
2024-01-19,5574987,llama index,llama-index
2024-01-22,30286555,langchain,langchain
2024-01-22,5708269,llama index,llama-index
2024-01-24,30321015,langchain,langchain
2024-01-24,5929159,llama index,llama-index
2024-01-25,30390460,langchain,langchain
2024-01-25,6048582,llama index,llama-index
2024-01-26,30455542,langchain,langchain
2024-01-26,6171551,llama index,llama-index
2024-01-27,30573895,langchain,langchain
2024-01-27,6288743,llama index,llama-index
2024-01-28,30568565,langchain,langchain
2024-01-28,6354414,llama index,llama-index
2024-01-29,30492624,langchain,langchain
2024-01-29,6409687,llama index,llama-index
2024-01-30,30548529,langchain,langchain
2024-01-30,6506735,llama index,llama-index
2024-01-31,30596882,langchain,langchain
2024-01-31,6609884,llama index,llama-index
2024-02-01,30641306,langchain,langchain
2024-02-01,6701818,llama index,llama-index
2024-02-04,30829228,langchain,langchain
2024-02-04,6968462,llama index,llama-index
2024-02-06,30747865,langchain,langchain
2024-02-06,7110812,llama index,llama-index
2024-02-08,30815487,langchain,langchain
2024-02-08,7295979,llama index,llama-index
2024-02-13,30920871,langchain,langchain
2024-02-13,7490759,llama index,llama-index
2024-02-17,31214075,langchain,langchain
2024-02-17,7869781,llama index,llama-index
2024-02-18,31244132,langchain,langchain
2024-02-18,7951726,llama index,llama-index
2024-02-20,31198826,langchain,langchain
2024-02-20,8094032,llama index,llama-index
2024-02-21,31257917,langchain,langchain
2024-02-21,8194101,llama index,llama-index
2024-02-26,31521471,langchain,langchain
2024-02-26,8516842,llama index,llama-index
2024-02-27,31570502,langchain,langchain
2024-02-27,8557687,llama index,llama-index
2024-02-28,31630961,langchain,langchain
2024-02-28,8597661,llama index,llama-index
2024-02-29,31697017,langchain,langchain
2024-02-29,8628924,llama index,llama-index
2024-03-01,31776210,langchain,langchain
2024-03-01,8652695,llama index,llama-index
2024-03-04,31895675,langchain,langchain
2024-03-04,8699574,llama index,llama-index
2024-03-04,31895675,langchain,langchain
2024-03-04,8699574,llama index,llama-index
2024-03-05,31928784,langchain,langchain
2024-03-05,8728081,llama index,llama-index
2024-03-07,32063372,langchain,langchain
2024-03-07,8792753,llama index,llama-index
2024-03-08,32341415,langchain,langchain
2024-03-08,8845243,llama index,llama-index
2024-03-11,32227366,langchain,langchain
2024-03-11,8863664,llama index,llama-index
2024-03-15,32551107,langchain,langchain
2024-03-15,8945149,llama index,llama-index
2024-03-17,32784708,langchain,langchain
2024-03-17,8999060,llama index,llama-index
2024-03-20,32897030,langchain,langchain
2024-03-20,9014532,llama index,llama-index
2024-03-21,32984403,langchain,langchain
2024-03-21,9031877,llama index,llama-index
2024-03-25,33216429,langchain,langchain
2024-03-25,9077011,llama index,llama-index
2024-03-28,33472489,langchain,langchain
2024-03-28,9138137,llama index,llama-index
2024-04-07,34143804,langchain,langchain
2024-04-07,9287630,llama index,llama-index
2024-04-11,34336978,langchain,langchain
2024-04-11,9308441,llama index,llama-index
2024-04-18,34981855,langchain,langchain
2024-04-18,9352954,llama index,llama-index
2024-04-23,35605454,langchain,langchain
2024-04-23,9385339,llama index,llama-index
2024-04-23,35605454,langchain,langchain
2024-04-23,9385339,llama index,llama-index
2024-05-08,36940690,langchain,langchain
2024-05-08,9404063,llama index,llama-index
2024-05-15,37849772,langchain,langchain
2024-05-15,9378373,llama index,llama-index
2024-06-03,41441533,langchain,langchain
2024-06-03,9267081,llama index,llama-index
2024-06-14,43956617,langchain,langchain
2024-06-14,9272367,llama index,llama-index
2024-07-11,48127857,langchain,langchain
2024-07-11,8913147,llama index,llama-index
