date,downloads,project,package
2024-01-08,1442402,llama.cpp,llama-cpp-python
2024-01-08,458431,gpt4all,gpt4all
2024-01-09,1446904,llama.cpp,llama-cpp-python
2024-01-09,457690,gpt4all,gpt4all
2024-01-10,1452677,llama.cpp,llama-cpp-python
2024-01-10,457083,gpt4all,gpt4all
2024-01-12,1466193,llama.cpp,llama-cpp-python
2024-01-12,456182,gpt4all,gpt4all
2024-01-16,1487170,llama.cpp,llama-cpp-python
2024-01-16,452772,gpt4all,gpt4all
2024-01-18,1494040,llama.cpp,llama-cpp-python
2024-01-18,451123,gpt4all,gpt4all
