date,downloads,project,package
2024-01-08,30857,lepton.ai,leptonai
2024-01-08,658695,modal.com,modal-client
2024-01-08,34006,fireworks.ai,fireworks-ai
2024-01-08,32092,banana.dev,banana-dev
2024-01-08,48126,toghther.ai,together
2024-01-08,627864,replicate.com,replicate
2024-01-09,31091,lepton.ai,leptonai
2024-01-09,659281,modal.com,modal-client
2024-01-09,34601,fireworks.ai,fireworks-ai
2024-01-09,31806,banana.dev,banana-dev
2024-01-09,48921,toghther.ai,together
2024-01-09,628123,replicate.com,replicate
2024-01-10,31384,lepton.ai,leptonai
2024-01-10,667761,modal.com,modal-client
2024-01-10,35037,fireworks.ai,fireworks-ai
2024-01-10,31653,banana.dev,banana-dev
2024-01-10,49658,toghther.ai,together
2024-01-10,628453,replicate.com,replicate
2024-01-12,31711,lepton.ai,leptonai
2024-01-12,667024,modal.com,modal-client
2024-01-12,36395,fireworks.ai,fireworks-ai
2024-01-12,31295,banana.dev,banana-dev
2024-01-12,51416,toghther.ai,together
2024-01-12,629917,replicate.com,replicate
2024-01-16,32510,lepton.ai,leptonai
2024-01-16,672366,modal.com,modal-client
2024-01-16,38613,fireworks.ai,fireworks-ai
2024-01-16,30553,banana.dev,banana-dev
2024-01-16,54257,toghther.ai,together
2024-01-16,631957,replicate.com,replicate
2024-01-18,32830,lepton.ai,leptonai
2024-01-18,692869,modal.com,modal
2024-01-18,40305,fireworks.ai,fireworks-ai
2024-01-18,30110,banana.dev,banana-dev
2024-01-18,56027,toghther.ai,together
2024-01-18,641252,replicate.com,replicate
2024-01-19,32996,lepton.ai,leptonai
2024-01-19,701972,modal.com,modal
2024-01-19,41058,fireworks.ai,fireworks-ai
2024-01-19,29791,banana.dev,banana-dev
2024-01-19,56859,toghther.ai,together
2024-01-19,645354,replicate.com,replicate
2024-01-22,33478,lepton.ai,leptonai
2024-01-22,716561,modal.com,modal
2024-01-22,42163,fireworks.ai,fireworks-ai
2024-01-22,29514,banana.dev,banana-dev
2024-01-22,57997,toghther.ai,together
2024-01-22,652255,replicate.com,replicate
2024-01-24,34250,lepton.ai,leptonai
2024-01-24,741047,modal.com,modal
2024-01-24,43938,fireworks.ai,fireworks-ai
2024-01-24,28970,banana.dev,banana-dev
2024-01-24,60428,toghther.ai,together
2024-01-24,662311,replicate.com,replicate
2024-01-25,34620,lepton.ai,leptonai
2024-01-25,751739,modal.com,modal
2024-01-25,44616,fireworks.ai,fireworks-ai
2024-01-25,28898,banana.dev,banana-dev
2024-01-25,61438,toghther.ai,together
2024-01-25,666160,replicate.com,replicate
2024-01-26,34863,lepton.ai,leptonai
2024-01-26,762453,modal.com,modal
2024-01-26,45230,fireworks.ai,fireworks-ai
2024-01-26,28816,banana.dev,banana-dev
2024-01-26,62423,toghther.ai,together
2024-01-26,670227,replicate.com,replicate
2024-01-27,35122,lepton.ai,leptonai
2024-01-27,774363,modal.com,modal
2024-01-27,46183,fireworks.ai,fireworks-ai
2024-01-27,28693,banana.dev,banana-dev
2024-01-27,63250,toghther.ai,together
2024-01-27,674632,replicate.com,replicate
2024-01-28,35616,lepton.ai,leptonai
2024-01-28,781010,modal.com,modal
2024-01-28,46876,fireworks.ai,fireworks-ai
2024-01-28,28610,banana.dev,banana-dev
2024-01-28,63664,toghther.ai,together
2024-01-28,677287,replicate.com,replicate
2024-01-29,36069,lepton.ai,leptonai
2024-01-29,784896,modal.com,modal
2024-01-29,47140,fireworks.ai,fireworks-ai
2024-01-29,28423,banana.dev,banana-dev
2024-01-29,64019,toghther.ai,together
2024-01-29,690155,replicate.com,replicate
2024-01-30,37006,lepton.ai,leptonai
2024-01-30,798136,modal.com,modal
2024-01-30,48104,fireworks.ai,fireworks-ai
2024-01-30,28248,banana.dev,banana-dev
2024-01-30,65255,toghther.ai,together
2024-01-30,704977,replicate.com,replicate
2024-01-31,37666,lepton.ai,leptonai
2024-01-31,808316,modal.com,modal
2024-01-31,49133,fireworks.ai,fireworks-ai
2024-01-31,27999,banana.dev,banana-dev
2024-01-31,66497,toghther.ai,together
2024-01-31,713452,replicate.com,replicate
2024-02-01,37982,lepton.ai,leptonai
2024-02-01,818592,modal.com,modal
2024-02-01,50182,fireworks.ai,fireworks-ai
2024-02-01,27642,banana.dev,banana-dev
2024-02-01,67717,toghther.ai,together
2024-02-01,719573,replicate.com,replicate
2024-02-04,38941,lepton.ai,leptonai
2024-02-04,847081,modal.com,modal
2024-02-04,53015,fireworks.ai,fireworks-ai
2024-02-04,27355,banana.dev,banana-dev
